Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/02/2026,04/03/2026,MAPLE STREET MARKET #204,Groceries,Sale,-86.42,
04/04/2026,04/05/2026,BLUE HERON COFFEE,Food & Drink,Sale,-6.75,
04/05/2026,04/06/2026,SPEEDWELL FUEL #88,Gas,Sale,-48.20,
04/06/2026,04/07/2026,STREAMFLIX.COM SUBSCRIPTION,Entertainment,Sale,-15.99,
04/08/2026,04/09/2026,TST* HARBORLIGHT BISTRO,Food & Drink,Sale,-64.80,
04/10/2026,04/11/2026,MAPLE STREET MARKET #204,Groceries,Sale,-112.07,
04/12/2026,04/13/2026,SQ *CORNER BAKERY CART,Food & Drink,Sale,-11.50,
04/13/2026,04/14/2026,PINEBOX HARDWARE,Home,Sale,-37.94,
04/15/2026,04/16/2026,TUNEBIRD MUSIC SUBSCRIPTION,Entertainment,Sale,-10.99,
04/17/2026,04/18/2026,MAPLE STREET MARKET #204,Groceries,Sale,-93.55,
04/19/2026,04/20/2026,GREENLEAF PHARMACY #12,Health & Wellness,Sale,-24.30,
04/21/2026,04/22/2026,SPEEDWELL FUEL #88,Gas,Sale,-51.75,
04/23/2026,04/24/2026,HARVEST BOWL KITCHEN,Food & Drink,Sale,-18.25,
04/26/2026,04/27/2026,CLOUDNINE FITNESS CLUB,Health & Wellness,Sale,-45.00,
04/28/2026,04/29/2026,MAPLE STREET MARKET #204,Groceries,Sale,-78.13,
05/01/2026,05/02/2026,BRIGHTPATH BOOKS,Shopping,Sale,-32.48,
05/03/2026,05/04/2026,BLUE HERON COFFEE,Food & Drink,Sale,-7.25,
05/04/2026,05/05/2026,SPEEDWELL FUEL #88,Gas,Sale,-46.90,
05/06/2026,05/07/2026,STREAMFLIX.COM SUBSCRIPTION,Entertainment,Sale,-15.99,
05/08/2026,05/09/2026,MAPLE STREET MARKET #204,Groceries,Sale,-104.66,
05/09/2026,05/10/2026,TST* HARBORLIGHT BISTRO,Food & Drink,Sale,-88.40,
05/11/2026,05/12/2026,LUMEN HOME GOODS,Home,Sale,-59.99,
05/12/2026,05/13/2026,LUMEN HOME GOODS,Home,Return,59.99,
05/14/2026,05/15/2026,TUNEBIRD MUSIC SUBSCRIPTION,Entertainment,Sale,-10.99,
05/16/2026,05/17/2026,MAPLE STREET MARKET #204,Groceries,Sale,-97.21,
05/18/2026,05/19/2026,SQ *CORNER BAKERY CART,Food & Drink,Sale,-9.75,
05/20/2026,05/21/2026,SPEEDWELL FUEL #88,Gas,Sale,-49.35,
05/22/2026,05/23/2026,GREENLEAF PHARMACY #12,Health & Wellness,Sale,-18.60,
05/24/2026,05/25/2026,HARVEST BOWL KITCHEN,Food & Drink,Sale,-22.10,
05/26/2026,05/27/2026,CLOUDNINE FITNESS CLUB,Health & Wellness,Sale,-45.00,
05/28/2026,05/29/2026,MAPLE STREET MARKET #204,Groceries,Sale,-83.47,
06/01/2026,06/02/2026,PINEBOX HARDWARE,Home,Sale,-26.18,
06/03/2026,06/04/2026,BLUE HERON COFFEE,Food & Drink,Sale,-6.75,
06/05/2026,06/06/2026,STREAMFLIX.COM SUBSCRIPTION,Entertainment,Sale,-15.99,
06/07/2026,06/08/2026,MAPLE STREET MARKET #204,Groceries,Sale,-119.82,
06/09/2026,06/10/2026,SPEEDWELL FUEL #88,Gas,Sale,-52.60,
06/11/2026,06/12/2026,TST* HARBORLIGHT BISTRO,Food & Drink,Sale,-71.15,
06/14/2026,06/15/2026,TUNEBIRD MUSIC SUBSCRIPTION,Entertainment,Sale,-10.99,
06/16/2026,06/17/2026,GREENLEAF PHARMACY #12,Health & Wellness,Sale,-31.45,
06/18/2026,06/19/2026,AUTOMATIC PAYMENT - THANK YOU,,Payment,1381.05,
